シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,派生元ーアクティビティ・アウトプット・アウトカムの番号,派生元ー種別（アクティビティ・アウトプット・アウトカム）,派生元ーアウトカムの期間,派生元ーアクティビティの内容/ 活動目標／成果目標,派生元ー活動指標／成果指標,派生先ーアクティビティ・アウトプット・アウトカムの番号,派生先ー種別（アクティビティ・アウトプット・アウトカム）,派生先ーアウトカムの期間,派生先ー 活動目標／成果目標,派生先ー活動指標／成果指標,後続アウトカムへのつながり,アウトカムを複数段階で設定できない理由
レビューシート,2024,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,1,アクティビティ,,ポスト５Ｇ情報通信システムの開発を民間企業・研究機関・大学等に、先端半導体設計・製造技術の開発を民間企業・研究機関・大学等に委託・補助する。,,3,アウトプット,,研究開発事業の採択件数,本事業の採択件数,,
レビューシート,2024,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,2,アクティビティ,,ポスト５Ｇ情報通信システムの開発を民間企業・研究機関・大学等に、先端半導体設計・製造技術の開発を民間企業・研究機関・大学等に委託・補助する。（令和6年度補正）,,6,アウトプット,,研究開発事業の採択件数,本事業の採択件数,,
レビューシート,2024,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,3,アウトプット,,研究開発事業の採択件数,本事業の採択件数,4,アウトカム,短期,有識者の意見に基づき開発テーマごとに設定した目標を達成したテーマの割合の一定水準の達成,開発テーマごとに設定した目標を達成したテーマ数／当該時点までに研究開発を完了したテーマ数（先導研究は除く）,研究開発の実施により、成果として開発テーマごとに設定した技術的な目標を達成する。,
レビューシート,2024,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,4,アウトカム,短期,有識者の意見に基づき開発テーマごとに設定した目標を達成したテーマの割合の一定水準の達成,開発テーマごとに設定した目標を達成したテーマ数／当該時点までに研究開発を完了したテーマ数（先導研究は除く）,5,アウトカム,長期,本事業で開発した技術の実用化率：50%以上（各採択テーマ終了後概ね3年時点）,開発した技術が実用化に至ったテーマ数／先導研究以外の採択テーマ数,研究開発の実施により、成果として開発テーマごとに設定した技術的な目標を達成する。基金の終期まで引き続き達成状況を確認。,
レビューシート,2024,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,6,アウトプット,,研究開発事業の採択件数,本事業の採択件数,7,アウトカム,短期,有識者の意見に基づき開発テーマごとに設定した目標を達成したテーマの割合の一定水準の達成,開発テーマごとに設定した目標を達成したテーマ数／当該時点までに研究開発を完了したテーマ数（先導研究は除く）,研究開発の実施により、成果として開発テーマごとに設定した技術的な目標を達成する。,
レビューシート,2024,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,7,アウトカム,短期,有識者の意見に基づき開発テーマごとに設定した目標を達成したテーマの割合の一定水準の達成,開発テーマごとに設定した目標を達成したテーマ数／当該時点までに研究開発を完了したテーマ数（先導研究は除く）,5,アウトカム,長期,本事業で開発した技術の実用化率：50%以上（各採択テーマ終了後概ね3年時点）,開発した技術が実用化に至ったテーマ数／先導研究以外の採択テーマ数,研究開発の実施により、成果として開発テーマごとに設定した技術的な目標を達成する。基金の終期まで引き続き達成状況を確認。,
レビューシート,2024,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,1,アクティビティ,,"酒類業の新市場を開拓するような、酒類事業者による以下の意欲的な取組を支援する。
（1）商品の差別化による新たなニーズの獲得、（2）販売手法の多様化による新たなニーズの獲得、（3）ＩＣＴ技術を活用した、製造 ・流通の高度化・効率化",,1,アウトプット,,酒類事業者の経営改革、酒類業の構造転換を促す。,新市場開拓支援枠の採択件数,,
レビューシート,2024,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,1,アウトプット,,酒類事業者の経営改革、酒類業の構造転換を促す。,新市場開拓支援枠の採択件数,1,アウトカム,短期,補助事業者が補助事業期間終了後に評価を行う「目標の達成度」について、ABCの3段階評価のうちA評価（評価できる）の割合を80％以上とする。,「目標の達成度」がA評価の事業の割合（A評価の事業数/交付決定事業数）×100,効果発現の初期段階として、酒類事業者の経営改革や酒類業界の構造転換に関し、補助事業者が設定した目標の達成度の認識を測ることが重要であることから、目標の達成度の割合を初期アウトカムとして設定した。,
レビューシート,2024,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,1,アウトカム,短期,補助事業者が補助事業期間終了後に評価を行う「目標の達成度」について、ABCの3段階評価のうちA評価（評価できる）の割合を80％以上とする。,「目標の達成度」がA評価の事業の割合（A評価の事業数/交付決定事業数）×100,1,アウトカム,中期,補助事業に係る全補助事業者の売上累計額（事業実施年度から起算して３年間の各年度）が本事業執行額を上回る,年度ごとの補助事業に係る全補助事業者の売上累計額（令和6～8年度）,"補助事業の成果が発現されているかの確認方法として、本事業の執行額により増加した補助事業に係る売上を比較検証する方法が考えられ、中期的なアウトカムとして設定した。
目標値は事業実施年度の執行額が確定した後に記載する。",
レビューシート,2024,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,1,アウトカム,中期,補助事業に係る全補助事業者の売上累計額（事業実施年度から起算して３年間の各年度）が本事業執行額を上回る,年度ごとの補助事業に係る全補助事業者の売上累計額（令和6～8年度）,1,アウトカム,長期,補助事業者のうち、事業終了後5年間で、売上総利益年率平均1.5％以上増を達成する事業者割合が50％を超えること。,売上総利益年率平均1.5％以上増を達成する補助事業者割合,補助事業により酒類事業者の経営状況の変化を捉えることが、酒類業の経営改革・構造転換を促すことを目的とした本事業の成果を検証するのに重要であることから、売上総利益の年率増加率平均を長期アウトカムとして設定した。,
レビューシート,2024,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,2,アウトプット,,日本産酒類の輸出拡大を図るとともに、酒類業の健全な発達を促進する。,海外展開支援枠の採択件数,2,アウトカム,短期,補助事業者が補助金交付申請時に設定する事業KPIについて、補助事業実施年度末に達成した事業の割合を80％以上とする。（複数の事業KPIを設定している場合には、そのうち1つでも達成すれば成果とする。）,事業KPIを達成した事業の割合（事業KPIを達成した事業数/交付決定事業数）×100,効果発現の初期段階として、酒類事業者が補助金交付申請時に設定した事業KPIの達成度を測ることが重要であることから、事業KPIの達成度の割合を初期アウトカムとして設定した。,
レビューシート,2024,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,2,アクティビティ,,"酒類事業者に対して、以下の取組について補助を行うことにより支援する。
（1）日本産酒類の海外販路拡大や商品等の高付加価値化に関する取組、（2）酒蔵の観光化や地域における酒蔵ツーリズムプラン策定の取組",,2,アウトプット,,日本産酒類の輸出拡大を図るとともに、酒類業の健全な発達を促進する。,海外展開支援枠の採択件数,,
レビューシート,2024,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,2,アウトカム,短期,補助事業者が補助金交付申請時に設定する事業KPIについて、補助事業実施年度末に達成した事業の割合を80％以上とする。（複数の事業KPIを設定している場合には、そのうち1つでも達成すれば成果とする。）,事業KPIを達成した事業の割合（事業KPIを達成した事業数/交付決定事業数）×100,2,アウトカム,長期,交付申請時に設定する長期事業KPIについて、事業終了後５年後に達成した事業の割合を80％以上とする。,長期事業KPIを達成した事業の割合（長期事業KPIを達成した事業数/交付決定事業数）×100,"酒類事業者が補助金交付申請時に設定した、５年かけて達成する長期事業KPIの最終的な達成度を測ることが本事業の成果を検証するのに重要であることから、長期事業KPIの達成度の割合を長期アウトカムとして設定した。
なお、設定する長期事業KPIは以下のとおり。
（1）日本産酒類の海外販路拡大や商品等の高付加価値化に関する取組の場合には、輸出金額の増加率又は商品単価の増加率
（2）酒蔵の観光化や地域における酒蔵ツーリズムプラン策定の取組の場合には、観光客の増加率又は観光客単価の増加率",
